Year,Fossil CO₂,Energy (EJ),GDP,Population (people),CO₂/Energy,Energy/GDP
1990,-41.40616050565415,-38.242861842468265,-41.883472419490005,-17.85348224234191,-5.122158761820953,6.264329147983472
1991,-37.617910780631455,-34.83485447204641,-41.26927868983295,-16.10857818387095,-4.270774331948993,10.955806559577635
1992,-33.55463305100639,-31.476580747009788,-38.04942796050734,-14.3502070184774,-3.032616186773136,10.609824892831417
1993,-31.339405643497614,-29.77271500369386,-35.10629491335009,-12.57815612551196,-2.230885958194402,8.218948051331813
1994,-27.612385890749103,-25.991287739038388,-30.78507236882973,-10.793514749330706,-2.190415293262465,6.925940391552926
1995,-22.908829179528514,-20.46177130516296,-25.54239332281801,-8.99882178621777,-3.076580802112321,6.823509704901711
1996,-16.50614073769951,-17.280547866434063,-19.92119974177699,-7.205552145178851,0.9361850311630799,3.297566730305467
1997,-13.019884534870169,-12.707125347576286,-16.678151791982565,-5.407382414493386,-0.35828718957784284,4.76588857521787
1998,-11.219378677980021,-7.406033235496483,-11.525182228015066,-3.6049344128290373,-4.1183519571875795,4.6557304058363185
1999,-2.603490311167879,-4.80588070904221,-3.6989161172212195,-1.8056826100774874,2.313578206593616,-1.1494830039176125
2000,0.0,0.0,0.0,0.0,0.0,0.0
2001,1.4275504462995836,0.41532440503797274,4.823966262675937,1.8248978355656733,1.0080394075894965,-4.2057575331489145
2002,4.632290700444529,3.9031367539543105,8.811444071606712,3.650258095091212,0.7017631702658486,-4.510837402748132
2003,8.24090547369594,7.604788865389884,17.364438664784966,5.452964487939664,0.5911601286647382,-8.31567884652904
2004,14.940822853783033,16.83712059641005,26.663148744268685,7.231830188862203,-1.6230267683310862,-7.757606095595547
2005,21.10072026316724,23.702570729893072,36.69921545747535,8.965837934510716,-2.1033115572084773,-9.50747572624167
2006,31.024537607266506,30.317950848543987,47.71817364570524,10.639536630430323,0.5422021710145778,-11.779337888982313
2007,41.164079092093324,41.43336094159586,59.0345897463998,12.273877007542254,-0.1903948599607516,-11.067547527158254
2008,50.99047590083583,49.68935485246779,63.94350734205939,13.882262754626026,0.8692141466241289,-8.694551385832606
2009,63.43698837745643,60.83778152449504,76.83256363960649,15.477658823932714,1.6160424673387561,-9.045156494880432
2010,70.0385728550502,67.80277351193503,91.85906051241409,17.07948220879258,1.3323971328496336,-12.53852017008209
2011,78.89613713891804,76.95734329577039,101.91499823377148,18.68452472501877,1.0956277976591793,-12.360476020263658
2012,95.21615498076426,86.521801828349,112.9322654881785,20.27620913425576,4.661306650048564,-12.403222968242806
2013,102.25131659646509,92.6965582527877,126.53034652636997,21.847020669666808,4.958447846869707,-14.935653784312608
2014,117.78649595263799,105.72291097066059,143.3167607981153,23.36777698198389,5.863996831980389,-15.450579608302057
2015,126.4921004212095,112.85438018456476,162.772986492424,24.84187094186111,6.407065818809806,-18.99685617391209
2016,138.7013974423308,122.39139946451701,184.46832703508497,26.330105543314296,7.333915797591843,-21.822087617828775
2017,145.99516445417638,130.8675411834848,203.79904056018333,27.798475260801805,6.552511969912956,-24.00649430696626
2018,162.86898914789978,143.94975664067195,223.6461984994108,29.195904046745213,7.755380766825303,-24.624556762369604
2019,164.87923807206684,150.1032700132812,236.72653498305107,30.52737777515423,5.9079467685492455,-25.72510805367033
2020,145.48271824582213,136.9778302768889,212.30795238115948,31.78017648410428,3.5888960410330126,-24.120462360924172
2021,171.09691873343164,157.28984142199752,240.25322429761366,32.834948077692985,5.366351518242893,-24.38283518014497
2022,187.00697960859452,171.19718801346076,267.9951230117024,33.74180213742263,5.829629617822216,-26.30413528473946
2023,210.44041989163102,190.91783107024116,293.3665395970202,34.82278797906267,6.710688289394056,-26.044083116914674
